i,top_vasculature_percent,bottom_vasculature_percent
456,17.7825927734375,15.9454345703125
457,21.88720703125,18.682861328125
458,10.56365966796875,25.16937255859375
459,20.66192626953125,15.3472900390625
460,19.56787109375,15.61431884765625
461,9.49554443359375,14.39666748046875
462,9.417724609375,11.6851806640625
463,6.23779296875,17.70477294921875
464,8.78143310546875,13.61236572265625
465,6.62384033203125,12.75787353515625
466,7.48748779296875,15.92559814453125
467,9.063720703125,10.90545654296875
468,9.002685546875,10.7666015625
469,16.49932861328125,14.17083740234375
470,21.79718017578125,15.61431884765625
471,17.75360107421875,16.06292724609375
472,16.26129150390625,16.16973876953125
473,20.60089111328125,16.63055419921875
474,13.47198486328125,16.3604736328125
475,13.0645751953125,16.9952392578125
476,10.64910888671875,16.888427734375
477,44.97833251953125,15.9088134765625
478,55.20477294921875,18.03436279296875
479,2.53143310546875,47.332763671875
480,2.65960693359375,42.7490234375
481,9.09576416015625,33.72650146484375
482,5.99212646484375,24.8626708984375
483,6.27899169921875,22.02911376953125
484,8.85467529296875,31.08062744140625
485,7.012939453125,23.22998046875
486,6.55975341796875,19.98138427734375
487,48.43292236328125,16.89910888671875
488,40.4937744140625,14.935302734375
489,33.624267578125,14.4073486328125
490,31.622314453125,14.1204833984375
491,38.33160400390625,14.88037109375
492,31.8084716796875,14.6514892578125
493,28.10821533203125,13.2843017578125
494,11.54327392578125,38.69171142578125
495,13.262939453125,6.29730224609375
496,34.50775146484375,10.20355224609375
497,6.06536865234375,31.9854736328125
498,7.74688720703125,31.7138671875
499,4.01153564453125,17.88177490234375
500,6.03790283203125,8.7005615234375
501,8.282470703125,10.65521240234375
502,6.93817138671875,15.4754638671875
503,4.25262451171875,9.37042236328125
504,5.25360107421875,8.9263916015625
505,11.20452880859375,6.56890869140625
506,33.40606689453125,10.14251708984375
507,19.0704345703125,6.26068115234375
508,9.08660888671875,9.234619140625
509,11.785888671875,10.13946533203125
510,14.642333984375,6.88629150390625
511,10.3973388671875,9.735107421875
512,10.076904296875,9.3841552734375
513,2.8533935546875,10.67962646484375
514,28.424072265625,11.96746826171875
515,19.3756103515625,11.40899658203125
516,7.46002197265625,16.13616943359375
517,5.7525634765625,12.49237060546875
518,7.33489990234375,22.503662109375
519,15.4449462890625,7.1258544921875
520,23.2818603515625,9.46502685546875
